Data,TempEquip1 (C/10),UmdEquip1 (UR/10),DewEquip1 (C/10),TempEquip2 (C/10),UmdEquip2 (UR/10),DewEquip2 (C/10),TempExame1 (C/10),UmdExame1 (UR/10),DewExame1 (C/10),TempExame2 (C/10),UmdExame2 (UR/10),
231023210528,201,530,102,0,0,0,211,490,99,0,0,0
231023210539,201,528,102,0,0,0,211,486,99,0,0,0
231023210550,201,526,102,0,0,0,211,485,99,0,0,0
231023210602,201,526,102,0,0,0,211,485,99,0,0,0
231023210613,201,524,99,0,0,0,211,482,96,0,0,0
231023210624,201,523,99,0,0,0,211,484,96,0,0,0
231023210635,201,522,99,0,0,0,211,483,96,0,0,0
231023210646,201,520,99,0,0,0,211,482,96,0,0,0
231023210658,200,518,98,0,0,0,211,481,96,0,0,0
231023210709,200,518,98,0,0,0,211,480,96,0,0,0
231023210720,200,517,98,0,0,0,211,481,96,0,0,0
231023210731,200,515,98,0,0,0,211,484,96,0,0,0
231023210743,200,515,98,0,0,0,211,484,96,0,0,0
231023210754,200,513,95,0,0,0,211,488,99,0,0,0
231023210923,200,509,95,0,0,0,211,482,96,0,0,0
231023210935,200,509,95,0,0,0,211,485,99,0,0,0
231023210946,200,510,95,0,0,0,211,484,96,0,0,0
231023210957,200,510,95,0,0,0,211,480,96,0,0,0
231023211008,200,511,95,0,0,0,211,483,96,0,0,0
231023211019,200,513,95,0,0,0,211,483,96,0,0,0
231023211030,200,515,98,0,0,0,211,480,96,0,0,0
231023211042,200,517,98,0,0,0,211,480,96,0,0,0
231023211053,200,518,98,0,0,0,211,485,99,0,0,0
231023211104,200,519,98,0,0,0,210,486,98,0,0,0
231023211115,200,520,98,0,0,0,210,487,98,0,0,0
231023211126,200,522,98,0,0,0,210,489,98,0,0,0
231023211138,200,522,98,0,0,0,210,487,98,0,0,0
231023211149,200,522,98,0,0,0,210,489,98,0,0,0
231023211200,200,523,98,0,0,0,210,491,98,0,0,0
231023211211,201,524,99,0,0,0,210,492,98,0,0,0
231023211222,201,524,99,0,0,0,210,494,98,0,0,0
231023211234,201,524,99,0,0,0,210,495,101,0,0,0
231023211245,201,524,99,0,0,0,210,492,98,0,0,0
231023211256,201,524,99,0,0,0,209,490,97,0,0,0
231023211426,202,517,100,0,0,0,208,493,96,0,0,0
231023211437,202,513,97,0,0,0,208,493,96,0,0,0
231023211448,202,512,97,0,0,0,208,494,96,0,0,0
231023211459,202,510,97,0,0,0,208,495,99,0,0,0
231023211511,202,509,97,0,0,0,208,496,99,0,0,0
231023211522,202,509,97,0,0,0,208,497,99,0,0,0
231023211533,202,507,97,0,0,0,208,496,99,0,0,0
231023211544,202,505,97,0,0,0,208,496,99,0,0,0
231023211555,202,504,94,0,0,0,208,497,99,0,0,0
